405.25,100
,
406.45,100
,
407.25,100
,
408.45,100
,
409.35,99
,
410.55,99
,
411.35,99
,
412.35,100
,
413.65,99
,
414.25,99
,
415.45,100
,
416.45,100
,
417.35,100
,
418.35,100
,
419.35,99
,
420.35,99
,
421.25,99
,
422.25,99
,
423.45,99
,
424.45,99
,
425.35,99
,
426.35,100
,
427.35,99
,
428.35,99
,
429.25,99
,
430.25,100
,
431.45,100
,
432.45,100
,
433.35,99
,
434.35,99
,
435.35,100
,
436.35,99
,
437.25,100
,
438.25,99
,
439.45,99
,
440.35,99
,
441.35,100
,
442.35,100
,
443.35,100
,
444.25,99
,
445.25,99
,
446.25,100
,
447.45,99
,
448.35,99
,
449.35,99
,
450.35,100
,
451.55,99
,
452.25,99
,
453.45,100
,
454.45,99
,
455.45,99
,
456.55,99
,
457.35,100
,
458.35,99
,
459.35,99
,
460.25,100
,
461.25,100
,
462.45,99
,
463.45,100
,
464.55,100
,
465.35,100
,
466.35,99
,
467.35,99
,
468.25,100
,
469.25,99
,
470.45,99
,
471.45,99
,
472.35,100
,
473.35,100
,
474.35,100
,
475.35,100
,
476.25,99
,
477.25,99
,
478.45,100
,
479.35,99
,
480.35,100
,
481.35,99
,
482.35,99
,
483.25,99
,
484.25,100
,
485.25,100
,
486.45,100
,
487.35,100
,
488.35,100
,
489.35,100
,
490.35,99
,
491.25,99
,
492.25,99
,
493.45,100
,
494.45,99
,
495.35,99
,
496.35,100
,
497.35,99
,
498.35,99
,
499.25,100
,
500.25,100
,
501.45,99
,
502.45,99
,
503.35,99
,
504.55,100
,
505.35,99
,
506.35,100
,
507.25,100
,
508.25,99
,
509.45,99
,
510.45,99
,
511.55,100
,
512.55,100
,
513.55,99
,
514.45,99
,
515.25,100
,
516.25,100
,
517.45,100
,
518.35,100
,
519.55,99
,
520.35,100
,
521.35,99
,
522.25,100
,
523.25,100
,
524.45,100
,
525.45,99
,
526.35,99
,
527.35,100
,
528.35,100
,
529.55,100
,
530.25,100
,
531.25,100
,
532.45,100
,
533.45,99
,
534.35,99
,
535.35,100
,
536.35,99
,
537.35,100
,
538.25,100
,
539.25,100
,
540.45,100
,
541.45,73
,
542.35,20
,
543.35,20
,
544.35,0
,
545.35,0
,
546.25,0
,
547.25,0
,
548.45,0
,
549.45,0
,
550.35,0
,
551.35,62
,
552.35,94
,
553.35,97
,
554.25,39
,
564.15,177
,
565.15,214
,
566.15,189
,
567.15,131
,
567.85,130
,
569.15,130
,
570.15,129
,
571.15,129
,
572.25,130
,
573.15,129
,
574.15,130
,
575.15,129
,
576.15,129
,
577.25,130
,
578.25,130
,
579.45,130
,
580.25,130
,
581.15,129
,
582.05,130
,
583.15,129
,
584.15,130
,
585.25,129
,
586.25,129
,
587.45,130
,
588.25,130
,
589.15,129
,
590.15,129
,
591.15,129
,
592.35,130
,
593.45,129
,
594.25,130
,
595.25,129
,
596.25,129
,
597.15,129
,
598.15,129
,
599.15,130
,
600.25,129
,
601.25,129
,
602.25,130
,
603.25,130
,
604.2,129
,
605.15,130
,
606.15,130
,
607.15,129
,
608.25,129
,
609.25,129
,
610.25,129
,
611.25,129
,
612.15,130
,
613.15,130
,
614.15,129
,
615.15,129
,
616.25,130
,
617.25,129
,
618.25,129
,
619.45,129
,
620.15,129
,
621.15,130
,
622.15,129
,
623.15,129
,
624.25,129
,
625.25,129
,
626.05,130
,
627.25,129
,
628.35,129
,
629.15,130
,
630.15,129
,
631.35,130
,
632.25,130
,
633.25,130
,
634.25,130
,
635.25,130
,
636.15,129
,
637.15,130
,
638.15,129
,
639.25,129
,
640.25,129
,
641.25,130
,
642.25,130
,
643.15,129
,
644.15,129
,
645.15,129
,
646.15,130
,
647.45,130
,
648.25,130
,
649.05,130
,
650.25,130
,
651.35,129
,
652.15,129
,
653.15,129
,
654.15,129
,
655.25,130
,
656.25,129
,
657.25,130
,
658.25,129
,
659.15,129
,
660.15,129
,
661.15,129
,
662.35,130
,
663.25,129
,
664.25,129
,
665.25,129
,
666.25,129
,
667.15,129
,
668.15,130
,
669.15,129
,
670.35,129
,
671.25,129
,
672.25,129
,
673.25,130
,
674.35,130
,
675.35,129
,
676.15,130
,
677.15,130
,
678.25,129
,
679.25,130
,
680.45,130
,
681.25,129
,
682.15,130
,
683.15,130
,
684.15,129
,
685.15,129
,
686.25,130
,
687.25,130
,
688.25,129
,
689.25,129
,
690.17,129
,
691.15,129
,
692.15,129
,
693.15,130
,
694.25,130
,
695.25,130
,
696.25,129
,
697.25,130
,
698.15,129
,
699.15,130
,
700.15,129
,
701.35,130
,
702.25,129
,
703.25,129
,
704.25,129
,
705.25,130
,
706.15,129
,
707.17,129
,
708.35,130
,
709.45,129
,
710.45,129
,
711.25,129
,
712.25,130
,
713.35,130
,
714.15,130
,
715.15,129
,
716.16,130
,
717.25,130
,
718.45,130
,
719.25,130
,
720.25,130
,
721.15,130
,
722.15,129
,
723.15,129
,
724.15,129
,
725.25,130
,
726.45,129
,
727.25,130
,
728.25,129
,
729.16,130
,
730.15,130
,
731.15,129
,
732.15,129
,
733.25,129
,
734.25,130
,
735.25,129
,
736.25,130
,
737.15,129
,
738.15,129
,
739.15,129
,
740.35,129
,
741.25,129
,
742.25,130
,
743.25,129
,
744.25,129
,
745.15,130
,
746.15,129
,
747.15,130
,
748.35,129
,
749.45,130
,
750.25,129
,
751.25,129
,
752.25,130
,
753.15,129
,
754.15,130
,
755.15,129
,
756.25,130
,
757.45,130
,
758.25,129
,
759.25,129
,
760.15,129
,
761.15,129
,
762.15,130
,
763.15,130
,
764.25,130
,
765.25,129
,
766.25,130
,
767.25,130
,
768.15,130
,
769.15,129
,
770.15,130
,
771.35,129
,
772.25,130
,
773.25,129
,
774.25,130
,
775.25,129
,
776.15,130
,
777.15,129
,
778.15,129
,
779.35,129
,
780.25,130
,
781.25,144
,
782.45,159
,
783.25,159
,
784.35,159
,
785.15,159
,
786.15,159
,
787.35,159
,
788.26,159
,
789.45,159
,
790.15,159
,
791.25,159
,
792.15,160
,
793.15,159
,
794.15,160
,
795.25,160
,
796.25,160
,
797.25,160
,
798.25,160
,
799.15,159
,
800.15,159
,
801.15,159
,
802.15,160
,
803.25,159
,
804.25,159
,
805.25,160
,
806.25,159
,
807.15,159
,
808.15,160
,
809.15,160
,
810.35,160
,
811.25,159
,
812.25,159
,
813.25,160
,
814.25,159
,
815.15,159
,
816.15,159
,
817.15,160
,
818.35,159
,
819.45,160
,
820.25,159
,
